Supplementary Table 1. Isolates used in the study,,,,,,,
,,,,,,,
Name of isolate (tree name),Laboratory number,Accession number,Year of isolation,Continent,Region within continent,Country,Source
10493_1_17_AfricaMDUST152_2012,MDUST152,ERR352442,2012,Africa,Africa ,Africa,Blood
10592_2_52_Africa09-4584_2009,09-4584,ERR360500,2009,Africa,Africa ,Africa,Not provided
10593_2_12_Africa09-9292_2009,09-9292,ERR360625,2009,Africa,Africa ,Africa,Not provided
10592_2_35_AlgE99-6646_1999,E99-6646  ,ERR360483,1999,Africa,North Africa,Algeria,Not provided
10592_2_36_Alg09-6318_2009,09-6318,ERR360484,2009,Africa,North Africa,Algeria,Not provided
10592_2_44_AlgE00-1382_2000,E00-1382  ,ERR360492,2000,Africa,North Africa,Algeria,Not provided
10593_2_14_Alg05-8683_2005,05-8683,ERR360627,2005,Africa,North Africa,Algeria,Not provided
10593_2_55_AlgE99-8067_1999,E99-8067  ,ERR360668,1999,Africa,North Africa,Algeria,Not provided
10593_2_63_Alg09-6677_2009,09-6677,ERR360676,2009,Africa,North Africa,Algeria,Not provided
10593_2_75_AlgE99-8095_1999,E99-8095  ,ERR360688,1999,Africa,North Africa,Algeria,Not provided
10593_2_33_Ang05-2783_2005,05-2783,ERR360646,2005,Africa,Central Africa,Angola,Not provided
10593_2_82_AngE01-5741_2001,E01-5741  ,ERR360695,2001,Africa,Central Africa,Angola,Not provided
10593_2_17_Ben04-7167_2004,04-7167,ERR360630,2004,Africa,West Africa,Benin,Not provided
10593_2_28_Ben09-8774_2009,09-8774,ERR360641,2009,Africa,West Africa,Benin,Not provided
10593_2_30_BenE02-1739_2002,E02-1739  ,ERR360643,2002,Africa,West Africa,Benin,Not provided
10593_2_58_Ben04-6845_2004,04-6845,ERR360671,2004,Africa,West Africa,Benin,Not provided
10592_2_79_BurFas06-6055_2006,06-6055,ERR360527,2006,Africa,West Africa,Burkina Faso,Not provided
10593_2_19_BurFas06-1510_2006,06-1510,ERR360632,2006,Africa,West Africa,Burkina Faso,Not provided
10593_2_62_BurFas06-1513_2006,06-1513,ERR360675,2006,Africa,West Africa,Burkina Faso,Not provided
10592_2_46_CamerIPCU_2007,IPCU,ERR360494,2007,Africa,Central Africa,Cameroon,Not provided
10592_2_57_CamerE01-1747_2001,E01-1747  ,ERR360505,2001,Africa,Central Africa,Cameroon,Not provided
10592_2_65_Camer09-5224_2009,09-5224,ERR360513,2009,Africa,Central Africa,Cameroon,Not provided
10592_2_71_CamerIPCC_2002,IPCC,ERR360519,2002,Africa,Central Africa,Cameroon,Not provided
10592_2_72_CamerIPCG_2003,IPCG,ERR360520,2003,Africa,Central Africa,Cameroon,Not provided
10592_2_76_CamerIPCO_2006,IPCO,ERR360524,2006,Africa,Central Africa,Cameroon,Not provided
10593_2_3_CamerIPCK_2004,IPCK,ERR360616,2004,Africa,Central Africa,Cameroon,Not provided
10593_2_7_CamerE02-0945_2002,E02-0945  ,ERR360620,2002,Africa,Central Africa,Cameroon,Not provided
10593_2_15_Camer07-3108_2007,07-3108,ERR360628,2007,Africa,Central Africa,Cameroon,Not provided
10593_2_21_Camer14-58_1958,14-58     ,ERR360634,1958,Africa,Central Africa,Cameroon,Not provided
10593_2_23_CamerIPCE_2002,IPCE,ERR360636,2002,Africa,Central Africa,Cameroon,Not provided
10593_2_27_Camer04-7620_2004,04-7620,ERR360640,2004,Africa,Central Africa,Cameroon,Not provided
10593_2_31_Camer12-58_1958,12-58,ERR360644,1958,Africa,Central Africa,Cameroon,Not provided
10593_2_34_CamerIPCI_2004,IPCI,ERR360647,2004,Africa,Central Africa,Cameroon,Not provided
10593_2_35_CamerIPCL_2004,IPCL,ERR360648,2004,Africa,Central Africa,Cameroon,Not provided
10593_2_38_Camer06-467_2006,06-467,ERR360651,2006,Africa,Central Africa,Cameroon,Not provided
10593_2_42_CamerIPCA_2000,IPCA,ERR360655,2000,Africa,Central Africa,Cameroon,Not provided
10593_2_44_CamerE98-8120_1998,E98-8120  ,ERR360657,1998,Africa,Central Africa,Cameroon,Not provided
10593_2_47_CamerIPCR_2006,IPCR,ERR360660,2006,Africa,Central Africa,Cameroon,Not provided
10593_2_50_CamerIPCT_2007,IPCT,ERR360663,2007,Africa,Central Africa,Cameroon,Not provided
10593_2_52_CamerIPCQ_2006,IPCQ,ERR360665,2006,Africa,Central Africa,Cameroon,Not provided
10593_2_53_Camer07-291_2007,07-291,ERR360666,2007,Africa,Central Africa,Cameroon,Not provided
10593_2_56_Camer07-702_2007,07-702,ERR360669,2007,Africa,Central Africa,Cameroon,Not provided
10593_2_61_CamerIPCP_2006,IPCP,ERR360674,2006,Africa,Central Africa,Cameroon,Not provided
10593_2_66_Camer06-5029_2006,06-5029,ERR360679,2006,Africa,Central Africa,Cameroon,Not provided
10593_2_76_CamerIPCS_2006,IPCS,ERR360689,2006,Africa,Central Africa,Cameroon,Not provided
10593_2_77_CamerIPCN_2005,IPCN,ERR360690,2005,Africa,Central Africa,Cameroon,Not provided
10593_2_41_CapVerE00-6599_2000,E00-6599  ,ERR360654,2000,Africa,West Africa,Cape Verde,Not provided
10592_2_58_CAR09-6906_2009,09-6906,ERR360506,2009,Africa,Central Africa,CAR,Not provided
10593_2_65_CAR07-977_2007,07-977,ERR360678,2007,Africa,Central Africa,CAR,Not provided
10593_2_72_CARQ0904130_2006,Q0904130,ERR360685,2006,Africa,Central Africa,CAR,Not provided
10592_2_43_ComE99-9794_1999,E99-9794  ,ERR360491,1999,Africa,East Africa,Comoros,Not provided
10592_2_49_ComE02-2364_2002,E02-2364  ,ERR360497,2002,Africa,East Africa,Comoros,Not provided
10593_2_68_ComE02-0937_2002,E02-0937  ,ERR360681,2002,Africa,East Africa,Comoros,Not provided
10426_1_3_Con3525/3_2011,3525/3,ERR349525,2011,Africa,Central Africa,DRC,Blood
10426_1_4_Con3080/3_2010,3080/3,ERR349526,2010,Africa,Central Africa,DRC,Blood
10426_1_5_Con3069/3_2010,3069/3,ERR349527,2010,Africa,Central Africa,DRC,Blood
10540_1_2_Con3592/3_2011,3592/3,ERR352599,2011,Africa,Central Africa,DRC,Blood
10540_1_5_Con3306/3_2011,3306/3,ERR352602,2011,Africa,Central Africa,DRC,Blood
10540_1_7_Con3322/3_2011,3322/3,ERR352604,2011,Africa,Central Africa,DRC,Blood
10561_2_4_Con3671/3_2011,3671/3,ERR357579,2011,Africa,Central Africa,DRC,Blood
10561_2_5_Con3332/3_2011,3332/3,ERR357580,2011,Africa,Central Africa,DRC,Blood
10561_2_16_Con3632/3_2011,3632/3,ERR357591,2011,Africa,Central Africa,DRC,Blood
10561_2_17_Con3139/3_2010,3139/3,ERR357592,2010,Africa,Central Africa,DRC,Blood
10561_2_21_Con3182/3_2010,3182/3,ERR357596,2010,Africa,Central Africa,DRC,Blood
10561_2_29_Con3157/3_2010,3157/3,ERR357604,2010,Africa,Central Africa,DRC,Blood
10561_2_35_Con3653/3_2011,3653/3,ERR357610,2011,Africa,Central Africa,DRC,Blood
10561_2_48_Con3673/3_2011,3673/3,ERR357623,2011,Africa,Central Africa,DRC,Blood
10561_2_60_Con3143/3_2010,3143/3,ERR357635,2010,Africa,Central Africa,DRC,Blood
10592_2_63_DRC76-1292_1976,76-1292,ERR360511,1976,Africa,Central Africa,DRC,Blood
10593_2_64_Con08-7714_2008,08-7714,ERR360677,2008,Africa,Central Africa,DRC,Blood
10562_2_1_EgyMDUST110_2007,MDUST110,ERR357756,2007,Africa,North Africa,Egypt,Blood
10593_2_4_EgyE00-2388_2000,E00-2388  ,ERR360617,2000,Africa,North Africa,Egypt,Not provided
10593_2_24_EgyE99-2862_1999,E99-2862  ,ERR360637,1999,Africa,North Africa,Egypt,Not provided
10592_2_42_GabE98-2601_1998,E98-2601  ,ERR360490,1998,Africa,West Africa,Gabon,Not provided
10592_2_47_Gui09-4821_2009,09-4821,ERR360495,2009,Africa,West Africa,Guinea,Not provided
